Tool,ID,Title,Description,IaC,Category,Provider,Severity,Query Document,Related Document
Checkov,CKV2_ADO_1,Ensure at least two approving reviews for PRs,NaN,Terraform,NaN,Azure DevOps,NaN,[ADORepositoryHasMinTwoReviewers.yaml](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/graph_checks/azuredevops/ADORepositoryHasMinTwoReviewers.yaml),NaN
Checkov,CKV2_ADO_1,Ensure at least two approving reviews for PRs,NaN,Terraform,NaN,Azure DevOps,NaN,[ADORepositoryHasMinTwoReviewers.yaml](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/graph_checks/azuredevops/ADORepositoryHasMinTwoReviewers.yaml),NaN
Checkov,CKV_ALI_1,Alibaba Cloud OSS bucket accessible to public,NaN,Terraform,NaN,Alibaba Cloud,NaN,[OSSBucketPublic.yaml](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/graph_checks/alicloud/OSSBucketPublic.yaml),NaN
Checkov,CKV_ALI_1,Alibaba Cloud OSS bucket accessible to public,NaN,Terraform,NaN,Alibaba Cloud,NaN,[OSSBucketPublic.yaml](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/graph_checks/alicloud/OSSBucketPublic.yaml),NaN
Checkov,CKV_ALI_2,Ensure no security groups allow ingress from 0.0.0.0:0 to port 22,NaN,Terraform,NaN,Alibaba Cloud,NaN,[SecurityGroupUnrestrictedIngress22.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/SecurityGroupUnrestrictedIngress22.py),NaN
Checkov,CKV_ALI_3,Ensure no security groups allow ingress from 0.0.0.0:0 to port 3389,NaN,Terraform,NaN,Alibaba Cloud,NaN,[SecurityGroupUnrestrictedIngress3389.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/SecurityGroupUnrestrictedIngress3389.py),NaN
Checkov,CKV_ALI_4,Ensure Action Trail Logging for all regions,NaN,Terraform,NaN,Alibaba Cloud,NaN,[ActionTrailLogAllRegions.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/ActionTrailLogAllRegions.py),NaN
Checkov,CKV_ALI_5,Ensure Action Trail Logging for all events,NaN,Terraform,NaN,Alibaba Cloud,NaN,[ActionTrailLogAllEvents.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/ActionTrailLogAllEvents.py),NaN
Checkov,CKV_ALI_6,Ensure OSS bucket is encrypted with Customer Master Key,NaN,Terraform,NaN,Alibaba Cloud,NaN,[OSSBucketEncryptedWithCMK.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/OSSBucketEncryptedWithCMK.py),NaN
Checkov,CKV_ALI_7,Ensure disk is encrypted,NaN,Terraform,NaN,Alibaba Cloud,NaN,[DiskIsEncrypted.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/DiskIsEncrypted.py),NaN
Checkov,CKV_ALI_8,Ensure Disk is encrypted with Customer Master Key,NaN,Terraform,NaN,Alibaba Cloud,NaN,[DiskEncryptedWithCMK.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/DiskEncryptedWithCMK.py),NaN
Checkov,CKV_ALI_9,Ensure database instance is not public,NaN,Terraform,NaN,Alibaba Cloud,NaN,[RDSIsPublic.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/RDSIsPublic.py),NaN
Checkov,CKV_ALI_10,Ensure OSS bucket has versioning enabled,NaN,Terraform,NaN,Alibaba Cloud,NaN,[OSSBucketVersioning.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/OSSBucketVersioning.py),NaN
Checkov,CKV_ALI_11,Ensure OSS bucket has transfer Acceleration enabled,NaN,Terraform,NaN,Alibaba Cloud,NaN,[OSSBucketTransferAcceleration.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/OSSBucketTransferAcceleration.py),NaN
Checkov,CKV_ALI_12,Ensure the OSS bucket has access logging enabled,NaN,Terraform,NaN,Alibaba Cloud,NaN,[OSSBucketAccessLogs.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/OSSBucketAccessLogs.py),NaN
Checkov,CKV_ALI_13,Ensure RAM password policy requires minimum length of 14 or greater,NaN,Terraform,NaN,Alibaba Cloud,NaN,[RAMPasswordPolicyLength.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicyLength.py),NaN
Checkov,CKV_ALI_14,Ensure RAM password policy requires at least one number,NaN,Terraform,NaN,Alibaba Cloud,NaN,[RAMPasswordPolicyNumber.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicyNumber.py),NaN
Checkov,CKV_ALI_15,Ensure RAM password policy requires at least one symbol,NaN,Terraform,NaN,Alibaba Cloud,NaN,[RAMPasswordPolicySymbol.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicySymbol.py),NaN
Checkov,CKV_ALI_16,Ensure RAM password policy expires passwords within 90 days or less,NaN,Terraform,NaN,Alibaba Cloud,NaN,[RAMPasswordPolicyExpiration.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicyExpiration.py),NaN
Checkov,CKV_ALI_17,Ensure RAM password policy requires at least one lowercase letter,NaN,Terraform,NaN,Alibaba Cloud,NaN,[RAMPasswordPolicyLowercaseLetter.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicyLowercaseLetter.py),NaN
Checkov,CKV_ALI_18,Ensure RAM password policy prevents password reuse,NaN,Terraform,NaN,Alibaba Cloud,NaN,[RAMPasswordPolicyReuse.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicyReuse.py),NaN
Checkov,CKV_ALI_19,Ensure RAM password policy requires at least one uppercase letter,NaN,Terraform,NaN,Alibaba Cloud,NaN,[RAMPasswordPolicyUppcaseLetter.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicyUppcaseLetter.py),NaN
Checkov,CKV_ALI_20,Ensure RDS instance uses SSL,NaN,Terraform,NaN,Alibaba Cloud,NaN,[RDSInstanceSSL.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/RDSInstanceSSL.py),NaN
Checkov,CKV_ALI_21,Ensure API Gateway API Protocol HTTPS,NaN,Terraform,NaN,Alibaba Cloud,NaN,[APIGatewayProtocolHTTPS.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/terraform/checks/resource/alicloud/APIGatewayProtocolHTTPS.py),NaN
