Tool,ID,Title,Description,IaC,Category,Provider,Severity,Query Document,Related Document
Terrascan,AC_AWS_0005,Enable AWS AMI Encryption,NaN,Terraform,Infrastructure Security,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0006,Limit access to AWS AMIs,NaN,Terraform,Infrastructure Security,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0441,Insecure Cross-Origin Resource Sharing Configuration allowing all domains,NaN,Terraform,Security Best Practices,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0442,AWS API Gateway V2 Stage is missing access logs,NaN,Terraform,Logging and Monitoring,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0439,Ensure there is no open access to back-end resources through API,NaN,Terraform,Infrastructure Security,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0007,Enable Detailed CloudWatch Metrics for APIs,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0010,Enable Content Encoding,NaN,Terraform,Infrastructure Security,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0011,API Gateway Private Endpoints,NaN,Terraform,Infrastructure Security,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0440,"Ensure use of API Gateway endpoint policy, and no action wildcards are being used.",NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0014,Enable AWS CloudWatch Logs for APIs,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0015,Ensure AWS API Gateway has active xray tracing enabled,NaN,Terraform,Logging and Monitoring,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0012,Ensure that AWS CloudWatch logs are enabled for all your APIs created with Amazon API Gateway service in order to track and analyze execution behavior at the API stage level.,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0013,Enable SSL Client Certificate,NaN,Terraform,Infrastructure Security,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0443,Ensure Athena Database is encrypted at rest,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0444,AWS CloudFormation Not In Use,NaN,Terraform,Security Best Practices,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0021,Enable AWS CloudFormation Stack Notifications,NaN,Terraform,Security Best Practices,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0445,AWS CloudFormation Stack Policy,NaN,Terraform,Security Best Practices,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0022,Enable AWS CloudFormation Stack Termination Protection,NaN,Terraform,Security Best Practices,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0026,Ensure that geo restriction is enabled for your Amazon CloudFront CDN distribution to whitelist or blacklist a country in order to allow or restrict users in specific locations from accessing web application content.,NaN,Terraform,Infrastructure Security,AWS,Low,NaN,NaN
