Tool,ID,Title,Description,IaC,Category,Provider,Severity,Query Document,Related Document
Trivy,AWS-0175,Enable IAM Access analyzer for IAM policies about all resources in each region.,"AWS IAM Access Analyzer helps you identify the resources in your organization and
accounts, such as Amazon S3 buckets or IAM roles, that are shared with an external entity.
This lets you identify unintended access to your resources and data. Access Analyzer
identifies resources that are shared with external principals by using logic-based reasoning
to analyze the resource-based policies in your AWS environment. IAM Access Analyzer
continuously monitors all policies for S3 bucket, IAM roles, KMS(Key Management Service)
keys, AWS Lambda functions, and Amazon SQS(Simple Queue Service) queues.
",Multiple(Rego),NaN,AWS,Low,NaN,https://docs.aws.amazon.com/IAM/latest/UserGuide/what-is-access-analyzer.html
Trivy,AWS-0001,API Gateway stages for V1 and V2 should have access logging enabled,"API Gateway stages should have access log settings block configured to track all access to a particular stage. This should be applied to both v1 and v2 gateway stages.
",Multiple(Rego),NaN,AWS,Medium,NaN,https://docs.aws.amazon.com/apigateway/latest/developerguide/set-up-logging.html
Trivy,AWS-0190,Ensure that response caching is enabled for your Amazon API Gateway REST APIs.,"A REST API in API Gateway is a collection of resources and methods that are integrated with backend HTTP endpoints, Lambda functions, or other AWS services. You can enable API caching in Amazon API Gateway to cache your endpoint responses. With caching, you can reduce the number of calls made to your endpoint and also improve the latency of requests to your API.
",Multiple(Rego),NaN,AWS,Low,NaN,https://docs.aws.amazon.com/apigateway/latest/developerguide/api-gateway-caching.html
Trivy,AWS-0002,API Gateway must have cache enabled,"Method cache encryption ensures that any sensitive data in the cache is not vulnerable to compromise in the event of interception
",Multiple(Rego),NaN,AWS,Medium,NaN,
Trivy,AWS-0003,API Gateway must have X-Ray tracing enabled,"X-Ray tracing enables end-to-end debugging and analysis of all API Gateway HTTP requests.
",Multiple(Rego),NaN,AWS,Low,NaN,
Trivy,AWS-0004,No unauthorized access to API Gateway methods,"API Gateway methods should generally be protected by authorization or api key. OPTION verb calls can be used without authorization
",Multiple(Rego),NaN,AWS,Low,NaN,
Trivy,AWS-0005,API Gateway domain name uses outdated SSL/TLS protocols.,"You should not use outdated/insecure TLS versions for encryption. You should be using TLS v1.2+.
",Multiple(Rego),NaN,AWS,High,NaN,https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-custom-domain-tls-version.html
Trivy,AWS-0006,"Athena databases and workgroup configurations are created unencrypted at rest by default, they should be encrypted","Data can be read if the Athena Database is compromised. Athena databases and workspace result sets should be encrypted at rests. These databases and query sets are generally derived from data in S3 buckets and should have the same level of at rest protection.
",Multiple(Rego),NaN,AWS,High,NaN,https://docs.aws.amazon.com/athena/latest/ug/encryption.html
Trivy,AWS-0007,Athena workgroups should enforce configuration to prevent client disabling encryption,"Clients can ignore encryption requirements without enforced configuration. Athena workgroup configuration should be enforced to prevent client side changes to disable encryption settings.
",Multiple(Rego),NaN,AWS,High,NaN,https://docs.aws.amazon.com/athena/latest/ug/manage-queries-control-costs-with-workgroups.html
Trivy,AWS-0010,Cloudfront distribution should have Access Logging configured,"You should configure CloudFront Access Logging to create log files that contain detailed information about every user request that CloudFront receives
",Multiple(Rego),NaN,AWS,Medium,NaN,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/AccessLogs.html
Trivy,AWS-0011,CloudFront distribution does not have a WAF in front.,"You should configure a Web Application Firewall in front of your CloudFront distribution. This will mitigate many types of attacks on your web application.
",Multiple(Rego),NaN,AWS,High,NaN,https://docs.aws.amazon.com/waf/latest/developerguide/cloudfront-features.html
