,Tool,ID,Description,IaC,Provider,Severity,Query Document,Related Document
0,KICS,fb5a5df7-6d74-4243-ab82-ff779a958bfd,ECR Repository Is Publicly Accessible,Ansible,AWS,Critical,https://docs.ansible.com/ansible/latest/collections/community/aws/ecs_ecr_module.html#parameter-policy,https://docs.kics.io/latest/queries/ansible-queries/aws/fb5a5df7-6d74-4243-ab82-ff779a958bfd
1,KICS,3ab1f27d-52cc-4943-af1d-43c1939e739a,S3 Bucket Access to Any Principal,Ansible,AWS,Critical,https://docs.ansible.com/ansible/latest/collections/amazon/aws/s3_bucket_module.html#ansible-collections-amazon-aws-s3-bucket-module,https://docs.kics.io/latest/queries/ansible-queries/aws/3ab1f27d-52cc-4943-af1d-43c1939e739a
2,KICS,6fa44721-ef21-41c6-8665-330d59461163,S3 Bucket Allows Delete Action From All Principals,Ansible,AWS,Critical,https://docs.ansible.com/ansible/latest/collections/amazon/aws/s3_bucket_module.html,https://docs.kics.io/latest/queries/ansible-queries/aws/6fa44721-ef21-41c6-8665-330d59461163
3,KICS,a0f1bfe0-741e-473f-b3b2-13e66f856fab,S3 Bucket Allows Put Action From All Principals,Ansible,AWS,Critical,https://docs.ansible.com/ansible/latest/collections/amazon/aws/s3_bucket_module.html,https://docs.kics.io/latest/queries/ansible-queries/aws/a0f1bfe0-741e-473f-b3b2-13e66f856fab
4,KICS,6a6d7e56-c913-4549-b5c5-5221e624d2ec,S3 Bucket With All Permissions,Ansible,AWS,Critical,https://docs.ansible.com/ansible/latest/collections/amazon/aws/s3_bucket_module.html#parameter-policy,https://docs.kics.io/latest/queries/ansible-queries/aws/6a6d7e56-c913-4549-b5c5-5221e624d2ec
5,KICS,c3e073c1-f65e-4d18-bd67-4a8f20ad1ab9,S3 Bucket With Public Access,Ansible,AWS,Critical,https://docs.ansible.com/ansible/latest/collections/amazon/aws/aws_s3_module.html#parameter-permission,https://docs.kics.io/latest/queries/ansible-queries/aws/c3e073c1-f65e-4d18-bd67-4a8f20ad1ab9
6,KICS,c09e3ca5-f08a-4717-9c87-3919c5e6d209,RDS DB Instance Publicly Accessible,Ansible,AWS,Critical,https://docs.ansible.com/ansible/latest/collections/community/aws/rds_instance_module.html#parameter-auto_minor_version_upgrade,https://docs.kics.io/latest/queries/ansible-queries/aws/c09e3ca5-f08a-4717-9c87-3919c5e6d209
7,KICS,0956aedf-6a7a-478b-ab56-63e2b19923ad,DB Security Group With Public Scope,Ansible,AWS,Critical,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_group_module.html,https://docs.kics.io/latest/queries/ansible-queries/aws/0956aedf-6a7a-478b-ab56-63e2b19923ad
8,KICS,16732649-4ff6-4cd2-8746-e72c13fae4b8,RDS Associated with Public Subnet,Ansible,AWS,Critical,https://docs.ansible.com/ansible/latest/collections/community/aws/rds_instance_module.html#parameter-db_subnet_group_name,https://docs.kics.io/latest/queries/ansible-queries/aws/16732649-4ff6-4cd2-8746-e72c13fae4b8
9,KICS,af167837-9636-4086-b815-c239186b9dda,Cross-Account IAM Assume Role Policy Without ExternalId or MFA,Ansible,AWS,High,https://docs.ansible.com/ansible/latest/collections/community/aws/iam_role_module.html#parameter-assume_role_policy_document,https://docs.kics.io/latest/queries/ansible-queries/aws/af167837-9636-4086-b815-c239186b9dda
10,KICS,7db727c1-1720-468e-b80e-06697f71e09e,ECS Service Admin Role Is Present,Ansible,AWS,High,https://docs.ansible.com/ansible/latest/collections/community/aws/ecs_service_module.html,https://docs.kics.io/latest/queries/ansible-queries/aws/7db727c1-1720-468e-b80e-06697f71e09e
11,KICS,b5ed026d-a772-4f07-97f9-664ba0b116f8,IAM Policy Grants Full Permissions,Ansible,AWS,High,https://docs.ansible.com/ansible/latest/collections/community/aws/iam_managed_policy_module.html,https://docs.kics.io/latest/queries/ansible-queries/aws/b5ed026d-a772-4f07-97f9-664ba0b116f8
12,KICS,a1ef9d2e-4163-40cb-bd92-04f0d602a15d,S3 Bucket ACL Allows Read to All Users,Ansible,AWS,High,https://docs.ansible.com/ansible/latest/collections/amazon/aws/aws_s3_module.html#parameter-permission,https://docs.kics.io/latest/queries/ansible-queries/aws/a1ef9d2e-4163-40cb-bd92-04f0d602a15d
13,KICS,75480b31-f349-4b9a-861f-bce19588e674,S3 Bucket ACL Allows Read to Any Authenticated User,Ansible,AWS,High,https://docs.ansible.com/ansible/latest/collections/amazon/aws/aws_s3_module.html#parameter-permission,https://docs.kics.io/latest/queries/ansible-queries/aws/75480b31-f349-4b9a-861f-bce19588e674
